sku,variant_id,item_class,family,subfamily,product_type,product_name,species_group,allowed_alternates,substitution_policy,lumber_grade,design_grade,moisture_condition,thickness_in,width_in,depth_in,length_in,diameter_in,nominal_size_text,actual_size_text,uom_takeoff,uom_purchase,lf_per_piece,bf_per_piece,sf_per_sheet,coverage_sf,count_per_box,lb_per_box,awpa_uc,retention_pcf,preservative_type,panel_width_in,panel_length_in,span_rating,exposure_class,edge_type,ps_standard,manufacturer,series,model,connector_type,finish,mount_type,seat_depth,skewable,joist_size_fit,fastener_coating,shank_type,head_type,angle_deg,collation_type,roll_width_ft,roll_length_ft,tape_width_in,adhesive_type,application_tags,irc_reference,requires_quote,spec_inputs,vendor_id,vendor_sku,vendor_sku_desc,price,price_uom,price_effective_date,stock_status,lead_time_days,min_order_qty,notes
DIM-SPF-2X4-8,DIM-SPF-2X4-8-V1,dimensional_lumber,plates_blocking,plate,plate,2x4 SPF 8',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,3.5,,96,,2x4,1.5x3.5,LF,EA,8,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plate|blocking|cripple|header,R602.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X4-10,DIM-SPF-2X4-10-V1,dimensional_lumber,plates_blocking,plate,plate,2x4 SPF 10',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,3.5,,120,,2x4,1.5x3.5,LF,EA,10,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plate|blocking|cripple|header,R602.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X4-12,DIM-SPF-2X4-12-V1,dimensional_lumber,plates_blocking,plate,plate,2x4 SPF 12',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,3.5,,144,,2x4,1.5x3.5,LF,EA,12,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plate|blocking|cripple|header,R602.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X4-14,DIM-SPF-2X4-14-V1,dimensional_lumber,plates_blocking,plate,plate,2x4 SPF 14',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,3.5,,168,,2x4,1.5x3.5,LF,EA,14,6.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plate|blocking|cripple|header,R602.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X4-16,DIM-SPF-2X4-16-V1,dimensional_lumber,plates_blocking,plate,plate,2x4 SPF 16',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,3.5,,192,,2x4,1.5x3.5,LF,EA,16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plate|blocking|cripple|header,R602.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X4-18,DIM-SPF-2X4-18-V1,dimensional_lumber,plates_blocking,plate,plate,2x4 SPF 18',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,3.5,,216,,2x4,1.5x3.5,LF,EA,18,7.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plate|blocking|cripple|header,R602.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X4-20,DIM-SPF-2X4-20-V1,dimensional_lumber,plates_blocking,plate,plate,2x4 SPF 20',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,3.5,,240,,2x4,1.5x3.5,LF,EA,20,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plate|blocking|cripple|header,R602.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X6-8,DIM-SPF-2X6-8-V1,dimensional_lumber,plates_blocking,plate,plate,2x6 SPF 8',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,5.5,,96,,2x6,1.5x5.5,LF,EA,8,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plate|joist|rafter|header,R602.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X6-10,DIM-SPF-2X6-10-V1,dimensional_lumber,plates_blocking,plate,plate,2x6 SPF 10',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,5.5,,120,,2x6,1.5x5.5,LF,EA,10,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plate|joist|rafter|header,R602.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X6-12,DIM-SPF-2X6-12-V1,dimensional_lumber,plates_blocking,plate,plate,2x6 SPF 12',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,5.5,,144,,2x6,1.5x5.5,LF,EA,12,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plate|joist|rafter|header,R602.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X6-14,DIM-SPF-2X6-14-V1,dimensional_lumber,plates_blocking,plate,plate,2x6 SPF 14',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,5.5,,168,,2x6,1.5x5.5,LF,EA,14,9.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plate|joist|rafter|header,R602.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X6-16,DIM-SPF-2X6-16-V1,dimensional_lumber,plates_blocking,plate,plate,2x6 SPF 16',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,5.5,,192,,2x6,1.5x5.5,LF,EA,16,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plate|joist|rafter|header,R602.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X6-18,DIM-SPF-2X6-18-V1,dimensional_lumber,plates_blocking,plate,plate,2x6 SPF 18',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,5.5,,216,,2x6,1.5x5.5,LF,EA,18,12.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plate|joist|rafter|header,R602.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X6-20,DIM-SPF-2X6-20-V1,dimensional_lumber,plates_blocking,plate,plate,2x6 SPF 20',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,5.5,,240,,2x6,1.5x5.5,LF,EA,20,13.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plate|joist|rafter|header,R602.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X8-8,DIM-SPF-2X8-8-V1,dimensional_lumber,joists_rafters,joist,joist,2x8 SPF 8',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,7.25,,96,,2x8,1.5x7.25,LF,EA,8,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joist|rafter|header,R502.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X8-10,DIM-SPF-2X8-10-V1,dimensional_lumber,joists_rafters,joist,joist,2x8 SPF 10',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,7.25,,120,,2x8,1.5x7.25,LF,EA,10,9.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joist|rafter|header,R502.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X8-12,DIM-SPF-2X8-12-V1,dimensional_lumber,joists_rafters,joist,joist,2x8 SPF 12',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,7.25,,144,,2x8,1.5x7.25,LF,EA,12,10.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joist|rafter|header,R502.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X8-14,DIM-SPF-2X8-14-V1,dimensional_lumber,joists_rafters,joist,joist,2x8 SPF 14',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,7.25,,168,,2x8,1.5x7.25,LF,EA,14,12.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joist|rafter|header,R502.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X8-16,DIM-SPF-2X8-16-V1,dimensional_lumber,joists_rafters,joist,joist,2x8 SPF 16',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,7.25,,192,,2x8,1.5x7.25,LF,EA,16,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joist|rafter|header,R502.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X8-18,DIM-SPF-2X8-18-V1,dimensional_lumber,joists_rafters,joist,joist,2x8 SPF 18',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,7.25,,216,,2x8,1.5x7.25,LF,EA,18,16.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joist|rafter|header,R502.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X8-20,DIM-SPF-2X8-20-V1,dimensional_lumber,joists_rafters,joist,joist,2x8 SPF 20',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,7.25,,240,,2x8,1.5x7.25,LF,EA,20,18.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joist|rafter|header,R502.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X10-8,DIM-SPF-2X10-8-V1,dimensional_lumber,joists_rafters,joist,joist,2x10 SPF 8',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,9.25,,96,,2x10,1.5x9.25,LF,EA,8,9.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joist|rafter|header,R502.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X10-10,DIM-SPF-2X10-10-V1,dimensional_lumber,joists_rafters,joist,joist,2x10 SPF 10',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,9.25,,120,,2x10,1.5x9.25,LF,EA,10,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joist|rafter|header,R502.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X10-12,DIM-SPF-2X10-12-V1,dimensional_lumber,joists_rafters,joist,joist,2x10 SPF 12',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,9.25,,144,,2x10,1.5x9.25,LF,EA,12,13.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joist|rafter|header,R502.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X10-14,DIM-SPF-2X10-14-V1,dimensional_lumber,joists_rafters,joist,joist,2x10 SPF 14',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,9.25,,168,,2x10,1.5x9.25,LF,EA,14,16.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joist|rafter|header,R502.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X10-16,DIM-SPF-2X10-16-V1,dimensional_lumber,joists_rafters,joist,joist,2x10 SPF 16',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,9.25,,192,,2x10,1.5x9.25,LF,EA,16,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joist|rafter|header,R502.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X10-18,DIM-SPF-2X10-18-V1,dimensional_lumber,joists_rafters,joist,joist,2x10 SPF 18',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,9.25,,216,,2x10,1.5x9.25,LF,EA,18,20.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joist|rafter|header,R502.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X10-20,DIM-SPF-2X10-20-V1,dimensional_lumber,joists_rafters,joist,joist,2x10 SPF 20',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,9.25,,240,,2x10,1.5x9.25,LF,EA,20,23.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joist|rafter|header,R502.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X10-22,DIM-SPF-2X10-22-V1,dimensional_lumber,joists_rafters,joist,joist,2x10 SPF 22',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,9.25,,264,,2x10,1.5x9.25,LF,EA,22,25.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joist|rafter|header,R502.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X10-24,DIM-SPF-2X10-24-V1,dimensional_lumber,joists_rafters,joist,joist,2x10 SPF 24',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,9.25,,288,,2x10,1.5x9.25,LF,EA,24,27.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joist|rafter|header,R502.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X12-8,DIM-SPF-2X12-8-V1,dimensional_lumber,joists_rafters,joist,joist,2x12 SPF 8',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,11.25,,96,,2x12,1.5x11.25,LF,EA,8,11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,header|ridge|joist,R602.7,N,,,,,,,,STOCK,,,
DIM-SPF-2X12-10,DIM-SPF-2X12-10-V1,dimensional_lumber,joists_rafters,joist,joist,2x12 SPF 10',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,11.25,,120,,2x12,1.5x11.25,LF,EA,10,14.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,header|ridge|joist,R602.7,N,,,,,,,,STOCK,,,
DIM-SPF-2X12-12,DIM-SPF-2X12-12-V1,dimensional_lumber,joists_rafters,joist,joist,2x12 SPF 12',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,11.25,,144,,2x12,1.5x11.25,LF,EA,12,16.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,header|ridge|joist,R602.7,N,,,,,,,,STOCK,,,
DIM-SPF-2X12-14,DIM-SPF-2X12-14-V1,dimensional_lumber,joists_rafters,joist,joist,2x12 SPF 14',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,11.25,,168,,2x12,1.5x11.25,LF,EA,14,19.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,header|ridge|joist,R602.7,N,,,,,,,,STOCK,,,
DIM-SPF-2X12-16,DIM-SPF-2X12-16-V1,dimensional_lumber,joists_rafters,joist,joist,2x12 SPF 16',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,11.25,,192,,2x12,1.5x11.25,LF,EA,16,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,header|ridge|joist,R602.7,N,,,,,,,,STOCK,,,
DIM-SPF-2X12-18,DIM-SPF-2X12-18-V1,dimensional_lumber,joists_rafters,joist,joist,2x12 SPF 18',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,11.25,,216,,2x12,1.5x11.25,LF,EA,18,25.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,header|ridge|joist,R602.7,N,,,,,,,,STOCK,,,
DIM-SPF-2X12-20,DIM-SPF-2X12-20-V1,dimensional_lumber,joists_rafters,joist,joist,2x12 SPF 20',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,11.25,,240,,2x12,1.5x11.25,LF,EA,20,28.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,header|ridge|joist,R602.7,N,,,,,,,,STOCK,,,
DIM-SPF-2X12-22,DIM-SPF-2X12-22-V1,dimensional_lumber,joists_rafters,joist,joist,2x12 SPF 22',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,11.25,,264,,2x12,1.5x11.25,LF,EA,22,30.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,header|ridge|joist,R602.7,N,,,,,,,,STOCK,,,
DIM-SPF-2X12-24,DIM-SPF-2X12-24-V1,dimensional_lumber,joists_rafters,joist,joist,2x12 SPF 24',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,11.25,,288,,2x12,1.5x11.25,LF,EA,24,33.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,header|ridge|joist,R602.7,N,,,,,,,,STOCK,,,
DIM-SPF-2X14-12,DIM-SPF-2X14-12-V1,dimensional_lumber,joists_rafters,joist,joist,2x14 SPF 12',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,13.25,,144,,2x14,1.5x13.25,LF,EA,12,19.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rafter|joist,R502.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X14-14,DIM-SPF-2X14-14-V1,dimensional_lumber,joists_rafters,joist,joist,2x14 SPF 14',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,13.25,,168,,2x14,1.5x13.25,LF,EA,14,23.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rafter|joist,R502.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X14-16,DIM-SPF-2X14-16-V1,dimensional_lumber,joists_rafters,joist,joist,2x14 SPF 16',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,13.25,,192,,2x14,1.5x13.25,LF,EA,16,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rafter|joist,R502.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X14-18,DIM-SPF-2X14-18-V1,dimensional_lumber,joists_rafters,joist,joist,2x14 SPF 18',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,13.25,,216,,2x14,1.5x13.25,LF,EA,18,29.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rafter|joist,R502.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X14-20,DIM-SPF-2X14-20-V1,dimensional_lumber,joists_rafters,joist,joist,2x14 SPF 20',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,13.25,,240,,2x14,1.5x13.25,LF,EA,20,33.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rafter|joist,R502.3,N,,,,,,,,STOCK,,,
DIM-DFL-2X4-STUD-92625,DIM-DFL-2X4-STUD-92625-V1,dimensional_lumber,studs_plates,precut_stud,stud,"2x4 Stud DF-L 92.625""",DF-L,,Allowed,Stud,,KD,1.5,3.5,,92.625,,2x4,1.5x3.5,EA,EA,7.72,5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall_stud|shearwall|8ft_ceiling,R602.3,N,,,,,,,,STOCK,,,Higher shear values
DIM-DFL-2X4-STUD-96,DIM-DFL-2X4-STUD-96-V1,dimensional_lumber,studs_plates,precut_stud,stud,"2x4 Stud DF-L 96""",DF-L,,Allowed,Stud,,KD,1.5,3.5,,96,,2x4,1.5x3.5,EA,EA,8,5.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall_stud|shearwall|8ft_ceiling,R602.3,N,,,,,,,,STOCK,,,Higher shear values
DIM-DFL-2X4-8,DIM-DFL-2X4-8-V1,dimensional_lumber,plates_blocking,plate,plate,2x4 DF-L 8',DF-L,,Allowed,#2&Btr,,KD,1.5,3.5,,96,,2x4,1.5x3.5,LF,EA,8,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plate|blocking|header|shearwall,R602.3,N,,,,,,,,STOCK,,,
DIM-DFL-2X4-10,DIM-DFL-2X4-10-V1,dimensional_lumber,plates_blocking,plate,plate,2x4 DF-L 10',DF-L,,Allowed,#2&Btr,,KD,1.5,3.5,,120,,2x4,1.5x3.5,LF,EA,10,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plate|blocking|header|shearwall,R602.3,N,,,,,,,,STOCK,,,
DIM-DFL-2X4-12,DIM-DFL-2X4-12-V1,dimensional_lumber,plates_blocking,plate,plate,2x4 DF-L 12',DF-L,,Allowed,#2&Btr,,KD,1.5,3.5,,144,,2x4,1.5x3.5,LF,EA,12,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plate|blocking|header|shearwall,R602.3,N,,,,,,,,STOCK,,,
DIM-DFL-2X4-14,DIM-DFL-2X4-14-V1,dimensional_lumber,plates_blocking,plate,plate,2x4 DF-L 14',DF-L,,Allowed,#2&Btr,,KD,1.5,3.5,,168,,2x4,1.5x3.5,LF,EA,14,6.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plate|blocking|header|shearwall,R602.3,N,,,,,,,,STOCK,,,
DIM-DFL-2X4-16,DIM-DFL-2X4-16-V1,dimensional_lumber,plates_blocking,plate,plate,2x4 DF-L 16',DF-L,,Allowed,#2&Btr,,KD,1.5,3.5,,192,,2x4,1.5x3.5,LF,EA,16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plate|blocking|header|shearwall,R602.3,N,,,,,,,,STOCK,,,
DIM-DFL-2X6-8,DIM-DFL-2X6-8-V1,dimensional_lumber,plates_blocking,plate,plate,2x6 DF-L 8',DF-L,,Allowed,#2&Btr,,KD,1.5,5.5,,96,,2x6,1.5x5.5,LF,EA,8,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plate|joist|rafter|header,R602.3,N,,,,,,,,STOCK,,,
DIM-DFL-2X6-10,DIM-DFL-2X6-10-V1,dimensional_lumber,plates_blocking,plate,plate,2x6 DF-L 10',DF-L,,Allowed,#2&Btr,,KD,1.5,5.5,,120,,2x6,1.5x5.5,LF,EA,10,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plate|joist|rafter|header,R602.3,N,,,,,,,,STOCK,,,
DIM-DFL-2X6-12,DIM-DFL-2X6-12-V1,dimensional_lumber,plates_blocking,plate,plate,2x6 DF-L 12',DF-L,,Allowed,#2&Btr,,KD,1.5,5.5,,144,,2x6,1.5x5.5,LF,EA,12,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plate|joist|rafter|header,R602.3,N,,,,,,,,STOCK,,,
DIM-DFL-2X6-14,DIM-DFL-2X6-14-V1,dimensional_lumber,plates_blocking,plate,plate,2x6 DF-L 14',DF-L,,Allowed,#2&Btr,,KD,1.5,5.5,,168,,2x6,1.5x5.5,LF,EA,14,9.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plate|joist|rafter|header,R602.3,N,,,,,,,,STOCK,,,
DIM-DFL-2X6-16,DIM-DFL-2X6-16-V1,dimensional_lumber,plates_blocking,plate,plate,2x6 DF-L 16',DF-L,,Allowed,#2&Btr,,KD,1.5,5.5,,192,,2x6,1.5x5.5,LF,EA,16,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plate|joist|rafter|header,R602.3,N,,,,,,,,STOCK,,,
DIM-DFL-2X6-18,DIM-DFL-2X6-18-V1,dimensional_lumber,plates_blocking,plate,plate,2x6 DF-L 18',DF-L,,Allowed,#2&Btr,,KD,1.5,5.5,,216,,2x6,1.5x5.5,LF,EA,18,12.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plate|joist|rafter|header,R602.3,N,,,,,,,,STOCK,,,
DIM-DFL-2X6-20,DIM-DFL-2X6-20-V1,dimensional_lumber,plates_blocking,plate,plate,2x6 DF-L 20',DF-L,,Allowed,#2&Btr,,KD,1.5,5.5,,240,,2x6,1.5x5.5,LF,EA,20,13.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plate|joist|rafter|header,R602.3,N,,,,,,,,STOCK,,,
